title,summary,published,source,url,overall_sentiment_score,overall_sentiment_label,ticker_sentiment_score,ticker_sentiment_label
Sample news title 1 for AAPL,This is a sample news summary for AAPL. It contains information about the company that may affect stock prices.,20250406T144432,Sample News Source,https://example.com/news/AAPL/1,-0.37814213998489166,Negative,-0.37814213998489166,Negative
Sample news title 2 for AAPL,This is a sample news summary for AAPL. It contains information about the company that may affect stock prices.,20250405T144432,Sample News Source,https://example.com/news/AAPL/2,0.4846961011450184,Positive,0.4846961011450184,Positive
Sample news title 3 for AAPL,This is a sample news summary for AAPL. It contains information about the company that may affect stock prices.,20250404T144432,Sample News Source,https://example.com/news/AAPL/3,0.6302367689607358,Positive,0.6302367689607358,Positive
Sample news title 4 for AAPL,This is a sample news summary for AAPL. It contains information about the company that may affect stock prices.,20250403T144432,Sample News Source,https://example.com/news/AAPL/4,0.2299564806822647,Neutral,0.2299564806822647,Neutral
Sample news title 5 for AAPL,This is a sample news summary for AAPL. It contains information about the company that may affect stock prices.,20250402T144432,Sample News Source,https://example.com/news/AAPL/5,0.3757682197598302,Positive,0.3757682197598302,Positive
Sample news title 6 for AAPL,This is a sample news summary for AAPL. It contains information about the company that may affect stock prices.,20250401T144432,Sample News Source,https://example.com/news/AAPL/6,-0.24948019111466735,Neutral,-0.24948019111466735,Neutral
Sample news title 7 for AAPL,This is a sample news summary for AAPL. It contains information about the company that may affect stock prices.,20250331T144432,Sample News Source,https://example.com/news/AAPL/7,0.07739133468607817,Neutral,0.07739133468607817,Neutral
Sample news title 8 for AAPL,This is a sample news summary for AAPL. It contains information about the company that may affect stock prices.,20250330T144432,Sample News Source,https://example.com/news/AAPL/8,0.0483183414523245,Neutral,0.0483183414523245,Neutral
Sample news title 9 for AAPL,This is a sample news summary for AAPL. It contains information about the company that may affect stock prices.,20250329T144432,Sample News Source,https://example.com/news/AAPL/9,0.6960955822615438,Positive,0.6960955822615438,Positive
Sample news title 10 for AAPL,This is a sample news summary for AAPL. It contains information about the company that may affect stock prices.,20250328T144432,Sample News Source,https://example.com/news/AAPL/10,0.6799279605643651,Positive,0.6799279605643651,Positive
Sample news title 11 for AAPL,This is a sample news summary for AAPL. It contains information about the company that may affect stock prices.,20250327T144432,Sample News Source,https://example.com/news/AAPL/11,0.6653609386940864,Positive,0.6653609386940864,Positive
Sample news title 12 for AAPL,This is a sample news summary for AAPL. It contains information about the company that may affect stock prices.,20250326T144432,Sample News Source,https://example.com/news/AAPL/12,-0.9779367714750684,Negative,-0.9779367714750684,Negative
Sample news title 13 for AAPL,This is a sample news summary for AAPL. It contains information about the company that may affect stock prices.,20250325T144432,Sample News Source,https://example.com/news/AAPL/13,0.4990909689377765,Positive,0.4990909689377765,Positive
Sample news title 14 for AAPL,This is a sample news summary for AAPL. It contains information about the company that may affect stock prices.,20250324T144432,Sample News Source,https://example.com/news/AAPL/14,0.5173527802220097,Positive,0.5173527802220097,Positive
Sample news title 15 for AAPL,This is a sample news summary for AAPL. It contains information about the company that may affect stock prices.,20250323T144432,Sample News Source,https://example.com/news/AAPL/15,0.3567576457102837,Positive,0.3567576457102837,Positive
Sample news title 16 for AAPL,This is a sample news summary for AAPL. It contains information about the company that may affect stock prices.,20250322T144432,Sample News Source,https://example.com/news/AAPL/16,0.5125293157829052,Positive,0.5125293157829052,Positive
Sample news title 17 for AAPL,This is a sample news summary for AAPL. It contains information about the company that may affect stock prices.,20250321T144432,Sample News Source,https://example.com/news/AAPL/17,0.6839407429934174,Positive,0.6839407429934174,Positive
Sample news title 18 for AAPL,This is a sample news summary for AAPL. It contains information about the company that may affect stock prices.,20250320T144432,Sample News Source,https://example.com/news/AAPL/18,-0.0593618917964287,Neutral,-0.0593618917964287,Neutral
Sample news title 19 for AAPL,This is a sample news summary for AAPL. It contains information about the company that may affect stock prices.,20250319T144432,Sample News Source,https://example.com/news/AAPL/19,0.004100426976894278,Neutral,0.004100426976894278,Neutral
Sample news title 20 for AAPL,This is a sample news summary for AAPL. It contains information about the company that may affect stock prices.,20250318T144432,Sample News Source,https://example.com/news/AAPL/20,-0.750571886177219,Negative,-0.750571886177219,Negative
